RollNo,Name,Maths,Accounts,Economics,Commerce,English
R2026001,Aishwarya Bose,53,70,52,53,58
R2026002,Aishwarya Subramanian,40,47,34,34,47
R2026003,Saranya Subramanian,98,95,99,97,96
R2026004,Hemalatha Chandran,62,63,63,61,55
R2026005,Suresh Pillai,51,53,59,66,44
R2026006,Ramesh Shah,62,62,46,50,66
R2026007,Devika Bose,76,69,56,72,67
R2026008,Hari Murugan,22,30,18,35,28
R2026009,Senthil Nair,52,48,56,64,66
R2026010,Vignesh Menon,26,43,26,36,41
R2026011,Bhavya Pillai,54,76,55,63,74
R2026012,Bhavya Iyer,67,65,55,74,62
R2026013,Vignesh Nair,81,88,70,86,89
R2026014,Divya Rao,52,64,49,59,69
R2026015,Janani Iyer,79,76,87,84,97
R2026016,Gopal Shah,75,78,75,70,63
R2026017,Mani Nair,59,81,62,74,70
R2026018,Saranya Raj,49,60,54,45,57
R2026019,Saranya Reddy,61,72,65,70,46
R2026020,Lakshmi Reddy,51,57,51,41,74
R2026021,Bharath Reddy,75,62,77,81,82
R2026022,Arun Iyer,45,64,62,51,46
R2026023,Vasanth Reddy,72,81,70,76,66
R2026024,Kavitha Murugan,67,88,68,87,77
R2026025,Saranya Patel,66,92,78,83,78
R2026026,Bharath Iyer,90,99,86,99,91
R2026027,Vasanth Krishnan,35,50,41,53,52
R2026028,Sangeetha Shah,56,53,61,46,68
R2026029,Mohan Natarajan,97,89,93,97,81
R2026030,Suresh Rao,84,74,83,78,88
R2026031,Devika Pillai,62,51,66,39,47
R2026032,Suresh Iyer,61,60,55,55,71
R2026033,Meena Raj,61,44,46,50,63
R2026034,Bharath Subramanian,76,60,85,79,71
R2026035,Karthik Raj,75,85,66,80,93
R2026036,Priya Shah,51,76,72,74,84
R2026037,Mohan Nair,53,58,40,53,57
R2026038,Bharath Raj,62,65,74,62,62
R2026039,Kavitha Sharma,88,60,90,84,70
R2026040,Aishwarya Raj,63,70,57,74,83
